	Year	Series	Value
"China, Macao SAR"	2010	"Total Sexual Violence at the national level, rate per 100,000"	8.364
"China, Macao SAR"	2016	"Intentional homicide rates per 100,000"	0.1632
"China, Macao SAR"	2016	"Percentage of male and female intentional homicide victims, Male"	0.3401
"China, Macao SAR"	2016	"Percentage of male and female intentional homicide victims, Female"	0
"China, Macao SAR"	2016	"Assault rate per 100,000 population"	279.45
"China, Macao SAR"	2016	"Kidnapping at the national level, rate per 100,000"	0
"China, Macao SAR"	2016	"Theft at the national level, rate per 100,000 population"	478.3
"China, Macao SAR"	2016	"Robbery at the national level, rate per 100,000 population"	15.987
"China, Macao SAR"	2016	"Total Sexual Violence at the national level, rate per 100,000"	9.462
"China, Macao SAR"	2017	"Intentional homicide rates per 100,000"	0.3212
"China, Macao SAR"	2017	"Percentage of male and female intentional homicide victims, Male"	0
"China, Macao SAR"	2017	"Percentage of male and female intentional homicide victims, Female"	0.6178
"China, Macao SAR"	2017	"Assault rate per 100,000 population"	279.78
"China, Macao SAR"	2017	"Kidnapping at the national level, rate per 100,000"	0
"China, Macao SAR"	2017	"Robbery at the national level, rate per 100,000 population"	17.335
"China, Macao SAR"	2017	"Total Sexual Violence at the national level, rate per 100,000"	10.273
Colombia	2005	"Intentional homicide rates per 100,000"	42.4665
Colombia	2005	"Percentage of male and female intentional homicide victims, Male"	79.5126
Colombia	2005	"Percentage of male and female intentional homicide victims, Female"	6.8608
Colombia	2005	"Assault rate per 100,000 population"	71.32
Colombia	2005	"Kidnapping at the national level, rate per 100,000"	1.876
Colombia	2005	"Theft at the national level, rate per 100,000 population"	161.18
Colombia	2005	"Total Sexual Violence at the national level, rate per 100,000"	10.767
Colombia	2010	"Intentional homicide rates per 100,000"	34.1842
Colombia	2010	"Percentage of male and female intentional homicide victims, Male"	64.2293
Colombia	2010	"Percentage of male and female intentional homicide victims, Female"	5.3159
Colombia	2010	"Assault rate per 100,000 population"	117.51
Colombia	2010	"Kidnapping at the national level, rate per 100,000"	0.624
Colombia	2010	"Theft at the national level, rate per 100,000 population"	203.04
Colombia	2010	"Robbery at the national level, rate per 100,000 population"	135.858
Colombia	2010	"Total Sexual Violence at the national level, rate per 100,000"	15.052
Colombia	2016	"Intentional homicide rates per 100,000"	25.7436
Colombia	2016	"Percentage of male and female intentional homicide victims, Male"	48.1155
Colombia	2016	"Percentage of male and female intentional homicide victims, Female"	4.2269
Colombia	2016	"Assault rate per 100,000 population"	372.82
Colombia	2016	"Kidnapping at the national level, rate per 100,000"	0.43
Colombia	2016	"Theft at the national level, rate per 100,000 population"	179.69
Colombia	2016	"Robbery at the national level, rate per 100,000 population"	304.394
Colombia	2016	"Total Sexual Violence at the national level, rate per 100,000"	44.419
Colombia	2017	"Intentional homicide rates per 100,000"	25.0195
Colombia	2017	"Percentage of male and female intentional homicide victims, Male"	46.5192
Colombia	2017	"Percentage of male and female intentional homicide victims, Female"	4.3219
Colombia	2017	"Assault rate per 100,000 population"	250.55
Colombia	2017	"Kidnapping at the national level, rate per 100,000"	0.399
Colombia	2017	"Robbery at the national level, rate per 100,000 population"	244.39
Colombia	2017	"Total Sexual Violence at the national level, rate per 100,000"	63.04
Cook Islands	2012	"Intentional homicide rates per 100,000"	3.4877
Costa Rica	2005	"Intentional homicide rates per 100,000"	7.8171
Costa Rica	2005	"Percentage of male and female intentional homicide victims, Male"	12.7427
Costa Rica	2005	"Percentage of male and female intentional homicide victims, Female"	2.8645
Costa Rica	2005	"Kidnapping at the national level, rate per 100,000"	0.257
Costa Rica	2005	"Theft at the national level, rate per 100,000 population"	195.08
Costa Rica	2010	"Intentional homicide rates per 100,000"	11.5132
Costa Rica	2010	"Percentage of male and female intentional homicide victims, Male"	20.3247
Costa Rica	2010	"Percentage of male and female intentional homicide victims, Female"	2.6701
Costa Rica	2010	"Assault rate per 100,000 population"	173.76
Costa Rica	2010	"Kidnapping at the national level, rate per 100,000"	0.24
Costa Rica	2010	"Theft at the national level, rate per 100,000 population"	442.36
Costa Rica	2010	"Robbery at the national level, rate per 100,000 population"	943.522
Costa Rica	2010	"Total Sexual Violence at the national level, rate per 100,000"	142.255
Costa Rica	2013	"Intentional homicide rates per 100,000"	8.667
Costa Rica	2013	"Percentage of male and female intentional homicide victims, Male"	15.7974
Costa Rica	2013	"Percentage of male and female intentional homicide victims, Female"	1.5201
Costa Rica	2013	"Assault rate per 100,000 population"	173.37
Costa Rica	2013	"Kidnapping at the national level, rate per 100,000"	0.084
Costa Rica	2013	"Theft at the national level, rate per 100,000 population"	691.37
Costa Rica	2013	"Robbery at the national level, rate per 100,000 population"	1011.26
Costa Rica	2013	"Total Sexual Violence at the national level, rate per 100,000"	153.501
Costa Rica	2017	"Intentional homicide rates per 100,000"	12.1819
Costa Rica	2017	"Percentage of male and female intentional homicide victims, Male"	22.0181
Costa Rica	2017	"Percentage of male and female intentional homicide victims, Female"	2.3437
Costa Rica	2017	"Assault rate per 100,000 population"	155.45
Costa Rica	2017	"Kidnapping at the national level, rate per 100,000"	0.202
Costa Rica	2017	"Robbery at the national level, rate per 100,000 population"	1587.5
Costa Rica	2017	"Total Sexual Violence at the national level, rate per 100,000"	191.152
Côte d’Ivoire	2008	"Assault rate per 100,000 population"	51.64
Côte d’Ivoire	2008	"Total Sexual Violence at the national level, rate per 100,000"	3.652
Croatia	2005	"Intentional homicide rates per 100,000"	1.5532
Croatia	2005	"Percentage of male and female intentional homicide victims, Male"	1.9447
Croatia	2005	"Percentage of male and female intentional homicide victims, Female"	1.1896
Croatia	2005	"Assault rate per 100,000 population"	26.34
Croatia	2005	"Kidnapping at the national level, rate per 100,000"	0.457
Croatia	2005	"Theft at the national level, rate per 100,000 population"	694.34
Croatia	2005	"Total Sexual Violence at the national level, rate per 100,000"	14.207
Croatia	2010	"Intentional homicide rates per 100,000"	1.4325
Croatia	2010	"Percentage of male and female intentional homicide victims, Male"	1.4391
Croatia	2010	"Percentage of male and female intentional homicide victims, Female"	1.4263
Croatia	2010	"Assault rate per 100,000 population"	22.78
Croatia	2010	"Kidnapping at the national level, rate per 100,000"	0.3
Croatia	2010	"Theft at the national level, rate per 100,000 population"	313.66
Croatia	2010	"Robbery at the national level, rate per 100,000 population"	28.766
Croatia	2010	"Total Sexual Violence at the national level, rate per 100,000"	9.173
Croatia	2016	"Intentional homicide rates per 100,000"	1.0455
Croatia	2016	"Percentage of male and female intentional homicide victims, Male"	1.1857
Croatia	2016	"Percentage of male and female intentional homicide victims, Female"	0.9156
Croatia	2016	"Assault rate per 100,000 population"	18.77
Croatia	2016	"Kidnapping at the national level, rate per 100,000"	0.024
Croatia	2016	"Theft at the national level, rate per 100,000 population"	302.66
Croatia	2016	"Robbery at the national level, rate per 100,000 population"	25.374
Croatia	2016	"Total Sexual Violence at the national level, rate per 100,000"	16.061
Croatia	2017	"Intentional homicide rates per 100,000"	1.0997
Croatia	2017	"Percentage of male and female intentional homicide victims, Male"	1.3912
Croatia	2017	"Percentage of male and female intentional homicide victims, Female"	0.8294
Croatia	2017	"Assault rate per 100,000 population"	19.08
Croatia	2017	"Kidnapping at the national level, rate per 100,000"	0
Croatia	2017	"Robbery at the national level, rate per 100,000 population"	20.655
Croatia	2017	"Total Sexual Violence at the national level, rate per 100,000"	11.379
Cuba	2005	"Intentional homicide rates per 100,000"	6.0737
Cuba	2005	"Percentage of male and female intentional homicide victims, Male"	9.1926
Cuba	2005	"Percentage of male and female intentional homicide victims, Female"	2.9743
Cuba	2010	"Intentional homicide rates per 100,000"	4.4986
Cuba	2010	"Percentage of male and female intentional homicide victims, Male"	6.7877
Cuba	2010	"Percentage of male and female intentional homicide victims, Female"	2.2332
Cuba	2016	"Intentional homicide rates per 100,000"	5.0463
Cuba	2016	"Percentage of male and female intentional homicide victims, Male"	8.0079
Cuba	2016	"Percentage of male and female intentional homicide victims, Female"	2.1216
Curaçao	2005	"Intentional homicide rates per 100,000"	19.9791
Curaçao	2005	"Percentage of male and female intentional homicide victims, Male"	32.7874
Curaçao	2005	"Percentage of male and female intentional homicide victims, Female"	8.6784
Curaçao	2007	"Intentional homicide rates per 100,000"	19.0366
Curaçao	2007	"Percentage of male and female intentional homicide victims, Male"	36.2079
Curaçao	2007	"Percentage of male and female intentional homicide victims, Female"	4.1064
Cyprus	2005	"Intentional homicide rates per 100,000"	1.9462
Cyprus	2005	"Percentage of male and female intentional homicide victims, Male"	3.4584
Cyprus	2005	"Percentage of male and female intentional homicide victims, Female"	0.3943
Cyprus	2005	"Assault rate per 100,000 population"	12.84
Cyprus	2005	"Kidnapping at the national level, rate per 100,000"	1.557
Cyprus	2005	"Theft at the national level, rate per 100,000 population"	116.83
Cyprus	2005	"Total Sexual Violence at the national level, rate per 100,000"	10.895
Cyprus	2010	"Intentional homicide rates per 100,000"	0.719
Cyprus	2010	"Percentage of male and female intentional homicide victims, Male"	1.2599
Cyprus	2010	"Percentage of male and female intentional homicide victims, Female"	0.1795
Cyprus	2010	"Assault rate per 100,000 population"	15.54
Cyprus	2010	"Kidnapping at the national level, rate per 100,000"	2.427
Cyprus	2010	"Theft at the national level, rate per 100,000 population"	150.04
Cyprus	2010	"Robbery at the national level, rate per 100,000 population"	14.016
Cyprus	2010	"Total Sexual Violence at the national level, rate per 100,000"	7.098
Cyprus	2016	"Intentional homicide rates per 100,000"	1.1109
Cyprus	2016	"Percentage of male and female intentional homicide victims, Male"	1.3651
Cyprus	2016	"Percentage of male and female intentional homicide victims, Female"	0.8559
Cyprus	2016	"Assault rate per 100,000 population"	12.39
Cyprus	2016	"Kidnapping at the national level, rate per 100,000"	0.085
Cyprus	2016	"Theft at the national level, rate per 100,000 population"	61.71
Cyprus	2016	"Robbery at the national level, rate per 100,000 population"	8.974
Cyprus	2016	"Total Sexual Violence at the national level, rate per 100,000"	3.675
Cyprus	2017	"Intentional homicide rates per 100,000"	0.5934
Cyprus	2017	"Percentage of male and female intentional homicide victims, Male"	1.1853
Cyprus	2017	"Percentage of male and female intentional homicide victims, Female"	0
Cyprus	2017	"Assault rate per 100,000 population"	12.2
Cyprus	2017	"Kidnapping at the national level, rate per 100,000"	0.763
Cyprus	2017	"Robbery at the national level, rate per 100,000 population"	9.915
Cyprus	2017	"Total Sexual Violence at the national level, rate per 100,000"	2.797
Czechia	2005	"Intentional homicide rates per 100,000"	1.0528
Czechia	2005	"Percentage of male and female intentional homicide victims, Male"	1.2609
Czechia	2005	"Percentage of male and female intentional homicide victims, Female"	0.8553
Czechia	2005	"Assault rate per 100,000 population"	211.39
Czechia	2005	"Kidnapping at the national level, rate per 100,000"	0.127
Czechia	2005	"Theft at the national level, rate per 100,000 population"	1502.48
Czechia	2005	"Total Sexual Violence at the national level, rate per 100,000"	18.025
Czechia	2010	"Intentional homicide rates per 100,000"	0.9776
Czechia	2010	"Percentage of male and female intentional homicide victims, Male"	0.9668
Czechia	2010	"Percentage of male and female intentional homicide victims, Female"	0.9879
Czechia	2010	"Assault rate per 100,000 population"	171.52
Czechia	2010	"Kidnapping at the national level, rate per 100,000"	0.095
Czechia	2010	"Theft at the national level, rate per 100,000 population"	1198.74
Czechia	2010	"Robbery at the national level, rate per 100,000 population"	38.142
Czechia	2010	"Total Sexual Violence at the national level, rate per 100,000"	12.689
Czechia	2016	"Intentional homicide rates per 100,000"	0.6121
Czechia	2016	"Percentage of male and female intentional homicide victims, Male"	0.5557
Czechia	2016	"Percentage of male and female intentional homicide victims, Female"	0.6667
Czechia	2016	"Assault rate per 100,000 population"	47.56
Czechia	2016	"Kidnapping at the national level, rate per 100,000"	0.17
Czechia	2016	"Theft at the national level, rate per 100,000 population"	676.82
Czechia	2016	"Robbery at the national level, rate per 100,000 population"	15.501
Czechia	2016	"Total Sexual Violence at the national level, rate per 100,000"	13.118
Czechia	2017	"Intentional homicide rates per 100,000"	0.6202
Czechia	2017	"Percentage of male and female intentional homicide victims, Male"	0.6881
Czechia	2017	"Percentage of male and female intentional homicide victims, Female"	0.5546
Czechia	2017	"Assault rate per 100,000 population"	44.8
Czechia	2017	"Kidnapping at the national level, rate per 100,000"	0.16
Czechia	2017	"Robbery at the national level, rate per 100,000 population"	14.895
Czechia	2017	"Total Sexual Violence at the national level, rate per 100,000"	13.288
Denmark	2005	"Intentional homicide rates per 100,000"	0.9776
Denmark	2005	"Percentage of male and female intentional homicide victims, Male"	1.3034
Denmark	2005	"Percentage of male and female intentional homicide victims, Female"	0.6578
Denmark	2005	"Assault rate per 100,000 population"	205.04
Denmark	2005	"Theft at the national level, rate per 100,000 population"	3100.7
Denmark	2010	"Intentional homicide rates per 100,000"	0.7561
Denmark	2010	"Percentage of male and female intentional homicide victims, Male"	0.7256
Denmark	2010	"Percentage of male and female intentional homicide victims, Female"	0.7861
Denmark	2010	"Assault rate per 100,000 population"	31.56
Denmark	2010	"Theft at the national level, rate per 100,000 population"	4351.09
Denmark	2010	"Robbery at the national level, rate per 100,000 population"	60.702
Denmark	2010	"Total Sexual Violence at the national level, rate per 100,000"	36.184
Denmark	2016	"Intentional homicide rates per 100,000"	0.9805
Denmark	2016	"Percentage of male and female intentional homicide victims, Male"	1.1618
Denmark	2016	"Percentage of male and female intentional homicide victims, Female"	0.8011
Denmark	2016	"Assault rate per 100,000 population"	30.34
Denmark	2016	"Theft at the national level, rate per 100,000 population"	3948.71
Denmark	2016	"Robbery at the national level, rate per 100,000 population"	38.259
Denmark	2016	"Total Sexual Violence at the national level, rate per 100,000"	66.416
Denmark	2017	"Intentional homicide rates per 100,000"	1.2386
Denmark	2017	"Percentage of male and female intentional homicide victims, Male"	1.789
Denmark	2017	"Percentage of male and female intentional homicide victims, Female"	0.6941
Denmark	2017	"Assault rate per 100,000 population"	33.22
Denmark	2017	"Robbery at the national level, rate per 100,000 population"	35.625
Denmark	2017	"Total Sexual Violence at the national level, rate per 100,000"	83.653
Dominica	2001	"Intentional homicide rates per 100,000"	1.4353
Dominica	2001	"Percentage of male and female intentional homicide victims, Male"	0
Dominica	2002	"Intentional homicide rates per 100,000"	12.8866
Dominica	2002	"Percentage of male and female intentional homicide victims, Female"	0
Dominica	2005	"Intentional homicide rates per 100,000"	11.3347
Dominica	2010	"Intentional homicide rates per 100,000"	21.1634
Dominica	2011	"Intentional homicide rates per 100,000"	8.4612
Dominica	2011	"Percentage of male and female intentional homicide victims, Female"	0
Dominica	2017	"Intentional homicide rates per 100,000"	26.5883
Dominica	2017	"Assault rate per 100,000 population"	88.73
Dominica	2017	"Kidnapping at the national level, rate per 100,000"	5.598
Dominica	2017	"Robbery at the national level, rate per 100,000 population"	101.408
Dominica	2017	"Total Sexual Violence at the national level, rate per 100,000"	0
Dominican Republic	2005	"Intentional homicide rates per 100,000"	26.3156
Dominican Republic	2005	"Percentage of male and female intentional homicide victims, Male"	47.6334
Dominican Republic	2005	"Percentage of male and female intentional homicide victims, Female"	4.7429
Dominican Republic	2005	"Kidnapping at the national level, rate per 100,000"	0.22
Dominican Republic	2006	"Intentional homicide rates per 100,000"	23.2571
Dominican Republic	2006	"Percentage of male and female intentional homicide victims, Male"	42.3539
Dominican Republic	2006	"Percentage of male and female intentional homicide victims, Female"	3.9309
Dominican Republic	2006	"Kidnapping at the national level, rate per 100,000"	0.152
Dominican Republic	2010	"Intentional homicide rates per 100,000"	25.518
Dominican Republic	2010	"Percentage of male and female intentional homicide victims, Male"	46.5242
Dominican Republic	2010	"Percentage of male and female intentional homicide victims, Female"	4.3521
Dominican Republic	2016	"Intentional homicide rates per 100,000"	15.5418
Dominican Republic	2016	"Percentage of male and female intentional homicide victims, Male"	27.792
Dominican Republic	2016	"Percentage of male and female intentional homicide victims, Female"	3.2725
Dominican Republic	2016	"Assault rate per 100,000 population"	30.22
Dominican Republic	2016	"Kidnapping at the national level, rate per 100,000"	0.202
Dominican Republic	2016	"Theft at the national level, rate per 100,000 population"	8.41
Dominican Republic	2016	"Robbery at the national level, rate per 100,000 population"	67.167
Dominican Republic	2016	"Total Sexual Violence at the national level, rate per 100,000"	62.579
Dominican Republic	2017	"Intentional homicide rates per 100,000"	11.5665
Dominican Republic	2017	"Percentage of male and female intentional homicide victims, Male"	19.4935
Dominican Republic	2017	"Percentage of male and female intentional homicide victims, Female"	3.6347
Ecuador	2005	"Intentional homicide rates per 100,000"	15.3408
Ecuador	2005	"Percentage of male and female intentional homicide victims, Male"	28.2006
Ecuador	2005	"Percentage of male and female intentional homicide victims, Female"	2.4036
Ecuador	2005	"Assault rate per 100,000 population"	56.1
Ecuador	2005	"Theft at the national level, rate per 100,000 population"	43.08
Ecuador	2010	"Intentional homicide rates per 100,000"	17.4737
Ecuador	2010	"Percentage of male and female intentional homicide victims, Male"	31.674
Ecuador	2010	"Percentage of male and female intentional homicide victims, Female"	3.2173
Ecuador	2010	"Assault rate per 100,000 population"	30.01
Ecuador	2010	"Theft at the national level, rate per 100,000 population"	33.44
Ecuador	2010	"Robbery at the national level, rate per 100,000 population"	360.449
Ecuador	2010	"Total Sexual Violence at the national level, rate per 100,000"	24.322
Ecuador	2016	"Intentional homicide rates per 100,000"	5.8395
Ecuador	2016	"Percentage of male and female intentional homicide victims, Male"	9.463
Ecuador	2016	"Percentage of male and female intentional homicide victims, Female"	2.2093
Ecuador	2016	"Assault rate per 100,000 population"	44.34
Ecuador	2016	"Kidnapping at the national level, rate per 100,000"	5.894
Ecuador	2016	"Theft at the national level, rate per 100,000 population"	192.72
Ecuador	2016	"Robbery at the national level, rate per 100,000 population"	499.46
Ecuador	2016	"Total Sexual Violence at the national level, rate per 100,000"	65.035
Ecuador	2017	"Intentional homicide rates per 100,000"	5.7908
Ecuador	2017	"Percentage of male and female intentional homicide victims, Male"	9.2153
Ecuador	2017	"Percentage of male and female intentional homicide victims, Female"	2.361
Ecuador	2017	"Assault rate per 100,000 population"	38.86
Ecuador	2017	"Kidnapping at the national level, rate per 100,000"	4.742
Ecuador	2017	"Robbery at the national level, rate per 100,000 population"	457.236
Ecuador	2017	"Total Sexual Violence at the national level, rate per 100,000"	80.548
Egypt	2005	"Intentional homicide rates per 100,000"	0.6912
Egypt	2005	"Percentage of male and female intentional homicide victims, Male"	1.2048
Egypt	2005	"Percentage of male and female intentional homicide victims, Female"	0.1683
Egypt	2005	"Kidnapping at the national level, rate per 100,000"	0.024
Egypt	2005	"Theft at the national level, rate per 100,000 population"	46.32
Egypt	2010	"Intentional homicide rates per 100,000"	2.2221
Egypt	2010	"Percentage of male and female intentional homicide victims, Male"	3.9276
Egypt	2010	"Percentage of male and female intentional homicide victims, Female"	0.481
Egypt	2010	"Assault rate per 100,000 population"	0.19
Egypt	2010	"Kidnapping at the national level, rate per 100,000"	0.112
Egypt	2010	"Theft at the national level, rate per 100,000 population"	93.23
Egypt	2010	"Robbery at the national level, rate per 100,000 population"	0.839
Egypt	2010	"Total Sexual Violence at the national level, rate per 100,000"	0.207
Egypt	2011	"Intentional homicide rates per 100,000"	3.1977
Egypt	2011	"Percentage of male and female intentional homicide victims, Male"	5.5542
Egypt	2011	"Percentage of male and female intentional homicide victims, Female"	0.7914
Egypt	2011	"Assault rate per 100,000 population"	0.4
Egypt	2011	"Kidnapping at the national level, rate per 100,000"	0.323
Egypt	2011	"Theft at the national level, rate per 100,000 population"	103.08
Egypt	2011	"Robbery at the national level, rate per 100,000 population"	3.162
Egypt	2011	"Total Sexual Violence at the national level, rate per 100,000"	0.135
Egypt	2012	"Intentional homicide rates per 100,000"	2.5537
Egypt	2012	"Percentage of male and female intentional homicide victims, Male"	4.4543
Egypt	2012	"Percentage of male and female intentional homicide victims, Female"	0.6125
El Salvador	2005	"Intentional homicide rates per 100,000"	64.1428
El Salvador	2005	"Percentage of male and female intentional homicide victims, Male"	120.6172
El Salvador	2005	"Percentage of male and female intentional homicide victims, Female"	12.5779
El Salvador	2005	"Assault rate per 100,000 population"	76.47
El Salvador	2005	"Kidnapping at the national level, rate per 100,000"	0.066
El Salvador	2005	"Theft at the national level, rate per 100,000 population"	177.13
El Salvador	2010	"Intentional homicide rates per 100,000"	64.4741
El Salvador	2010	"Percentage of male and female intentional homicide victims, Male"	117.0348
El Salvador	2010	"Percentage of male and female intentional homicide victims, Female"	17.253
El Salvador	2010	"Assault rate per 100,000 population"	62.92
El Salvador	2010	"Kidnapping at the national level, rate per 100,000"	0.469
El Salvador	2010	"Theft at the national level, rate per 100,000 population"	156.47
El Salvador	2010	"Robbery at the national level, rate per 100,000 population"	87.613
El Salvador	2010	"Total Sexual Violence at the national level, rate per 100,000"	36.077
El Salvador	2015	"Intentional homicide rates per 100,000"	105.2312
El Salvador	2015	"Percentage of male and female intentional homicide victims, Male"	204.458
El Salvador	2015	"Percentage of male and female intentional homicide victims, Female"	17.1581
El Salvador	2015	"Assault rate per 100,000 population"	93.08
El Salvador	2015	"Kidnapping at the national level, rate per 100,000"	0.3
El Salvador	2015	"Theft at the national level, rate per 100,000 population"	135
El Salvador	2015	"Robbery at the national level, rate per 100,000 population"	81.597
El Salvador	2015	"Total Sexual Violence at the national level, rate per 100,000"	70.198
El Salvador	2017	"Intentional homicide rates per 100,000"	61.7083
El Salvador	2017	"Percentage of male and female intentional homicide victims, Male"	115.8512
El Salvador	2017	"Percentage of male and female intentional homicide victims, Female"	13.8335
El Salvador	2017	"Assault rate per 100,000 population"	58.63
El Salvador	2017	"Kidnapping at the national level, rate per 100,000"	0.235
El Salvador	2017	"Robbery at the national level, rate per 100,000 population"	59.44
El Salvador	2017	"Total Sexual Violence at the national level, rate per 100,000"	68.472
Estonia	2005	"Intentional homicide rates per 100,000"	8.3355
Estonia	2005	"Percentage of male and female intentional homicide victims, Male"	13.4162
Estonia	2005	"Percentage of male and female intentional homicide victims, Female"	3.9246
Estonia	2005	"Assault rate per 100,000 population"	9.73
Estonia	2005	"Kidnapping at the national level, rate per 100,000"	0.148
Estonia	2005	"Theft at the national level, rate per 100,000 population"	2245.72
Estonia	2005	"Total Sexual Violence at the national level, rate per 100,000"	29.646
Estonia	2010	"Intentional homicide rates per 100,000"	5.2548
Estonia	2010	"Percentage of male and female intentional homicide victims, Male"	8.6392
Estonia	2010	"Percentage of male and female intentional homicide victims, Female"	2.3051
Estonia	2010	"Assault rate per 100,000 population"	7.73
Estonia	2010	"Kidnapping at the national level, rate per 100,000"	0
Estonia	2010	"Theft at the national level, rate per 100,000 population"	1895.87
Estonia	2010	"Robbery at the national level, rate per 100,000 population"	44.97
Estonia	2010	"Total Sexual Violence at the national level, rate per 100,000"	20.646
Estonia	2015	"Intentional homicide rates per 100,000"	3.4212
Estonia	2015	"Percentage of male and female intentional homicide victims, Male"	5.5729
Estonia	2015	"Percentage of male and female intentional homicide victims, Female"	1.5304
Estonia	2015	"Assault rate per 100,000 population"	7.45
Estonia	2015	"Kidnapping at the national level, rate per 100,000"	0
Estonia	2015	"Theft at the national level, rate per 100,000 population"	863.42
Estonia	2015	"Robbery at the national level, rate per 100,000 population"	25.627
Estonia	2015	"Total Sexual Violence at the national level, rate per 100,000"	42.814
Estonia	2017	"Intentional homicide rates per 100,000"	2.198
Estonia	2017	"Percentage of male and female intentional homicide victims, Male"	3.3862
Estonia	2017	"Percentage of male and female intentional homicide victims, Female"	1.1441
Estonia	2017	"Assault rate per 100,000 population"	5.76
Estonia	2017	"Kidnapping at the national level, rate per 100,000"	0
Estonia	2017	"Robbery at the national level, rate per 100,000 population"	15.239
Estonia	2017	"Total Sexual Violence at the national level, rate per 100,000"	19.636
Eswatini	2004	"Intentional homicide rates per 100,000"	14.226
Eswatini	2004	"Assault rate per 100,000 population"	1421.73
Eswatini	2004	"Kidnapping at the national level, rate per 100,000"	9.354
Eswatini	2004	"Theft at the national level, rate per 100,000 population"	2032.26
Eswatini	2005	"Intentional homicide rates per 100,000"	13.4876
Eswatini	2010	"Intentional homicide rates per 100,000"	19.5334
Eswatini	2017	"Intentional homicide rates per 100,000"	11.5575
Ethiopia	2012	"Intentional homicide rates per 100,000"	8.7925
Fiji	2005	"Intentional homicide rates per 100,000"	2.7994
Fiji	2005	"Percentage of male and female intentional homicide victims, Male"	3.3412
Fiji	2005	"Percentage of male and female intentional homicide victims, Female"	2.2355
Fiji	2010	"Intentional homicide rates per 100,000"	2.3261
Fiji	2010	"Percentage of male and female intentional homicide victims, Male"	3.1895
Fiji	2010	"Percentage of male and female intentional homicide victims, Female"	1.4256
Fiji	2014	"Intentional homicide rates per 100,000"	2.3083
Fiji	2014	"Percentage of male and female intentional homicide victims, Male"	1.8153
Fiji	2014	"Percentage of male and female intentional homicide victims, Female"	2.8186
Finland	2005	"Intentional homicide rates per 100,000"	2.2628
Finland	2005	"Percentage of male and female intentional homicide victims, Male"	3.2634
Finland	2005	"Percentage of male and female intentional homicide victims, Female"	1.3036
Finland	2005	"Assault rate per 100,000 population"	579.33
Finland	2005	"Kidnapping at the national level, rate per 100,000"	0.038
Finland	2005	"Theft at the national level, rate per 100,000 population"	2378.42
Finland	2005	"Total Sexual Violence at the national level, rate per 100,000"	36.49
Finland	2010	"Intentional homicide rates per 100,000"	2.2178
Finland	2010	"Percentage of male and female intentional homicide victims, Male"	3.4557
Finland	2010	"Percentage of male and female intentional homicide victims, Female"	1.0247
Finland	2010	"Assault rate per 100,000 population"	37.2
Finland	2010	"Kidnapping at the national level, rate per 100,000"	0.019
Finland	2010	"Theft at the national level, rate per 100,000 population"	1853.04
Finland	2010	"Robbery at the national level, rate per 100,000 population"	28.103
Finland	2010	"Total Sexual Violence at the national level, rate per 100,000"	45.043
Finland	2016	"Intentional homicide rates per 100,000"	1.346
Finland	2016	"Percentage of male and female intentional homicide victims, Male"	1.9209
Finland	2016	"Percentage of male and female intentional homicide victims, Female"	0.7883
Finland	2016	"Assault rate per 100,000 population"	28.96
Finland	2016	"Kidnapping at the national level, rate per 100,000"	0.055
Finland	2016	"Theft at the national level, rate per 100,000 population"	2082.39
Finland	2016	"Robbery at the national level, rate per 100,000 population"	30.375
Finland	2016	"Total Sexual Violence at the national level, rate per 100,000"	57.985
Finland	2017	"Intentional homicide rates per 100,000"	1.252
Finland	2017	"Percentage of male and female intentional homicide victims, Male"	1.3997
Finland	2017	"Percentage of male and female intentional homicide victims, Female"	1.1085
Finland	2017	"Assault rate per 100,000 population"	28.69
Finland	2017	"Kidnapping at the national level, rate per 100,000"	0.018
Finland	2017	"Robbery at the national level, rate per 100,000 population"	29.759
Finland	2017	"Total Sexual Violence at the national level, rate per 100,000"	55.416
France	2005	"Intentional homicide rates per 100,000"	1.5969
France	2005	"Assault rate per 100,000 population"	243.21
France	2005	"Kidnapping at the national level, rate per 100,000"	3.292
France	2005	"Theft at the national level, rate per 100,000 population"	1366.26
France	2005	"Total Sexual Violence at the national level, rate per 100,000"	39.051
France	2010	"Intentional homicide rates per 100,000"	1.2659
France	2010	"Assault rate per 100,000 population"	368.81
France	2010	"Kidnapping at the national level, rate per 100,000"	3.327
France	2010	"Theft at the national level, rate per 100,000 population"	1864.75
France	2010	"Robbery at the national level, rate per 100,000 population"	192.49
France	2010	"Total Sexual Violence at the national level, rate per 100,000"	36.519
France	2016	"Intentional homicide rates per 100,000"	1.3515
France	2016	"Percentage of male and female intentional homicide victims, Male"	1.6953
France	2016	"Percentage of male and female intentional homicide victims, Female"	1.0285
France	2016	"Assault rate per 100,000 population"	375.63
France	2016	"Kidnapping at the national level, rate per 100,000"	5.904
France	2016	"Theft at the national level, rate per 100,000 population"	2136.18
France	2016	"Robbery at the national level, rate per 100,000 population"	161.5
France	2016	"Total Sexual Violence at the national level, rate per 100,000"	58.135
France	2017	"Intentional homicide rates per 100,000"	1.2708
France	2017	"Percentage of male and female intentional homicide victims, Male"	1.6471
France	2017	"Percentage of male and female intentional homicide victims, Female"	0.9174
France	2017	"Robbery at the national level, rate per 100,000 population"	154.342
France	2017	"Total Sexual Violence at the national level, rate per 100,000"	64.388
